100+110+111+130,245,250,260+264,300
"Hinman, R. R. (Royal Ralph), 1785-1868, compiler.","The blue laws of New Haven Colony, usually called blue laws of Connecticut, Quaker laws of Plymouth and Massachusetts, blue laws of New York, Maryland, Virginia, and South Carolina, first record of Connecticut : interesting extracts from Connecticut records, cases of Salem witchcraft, charges and banishment of Rev. Roger Williams, &c., and other interesting and instructive antiquities / compiled by an Antiquarian.",,"Hartford : Printed by Case, Tiffany & Co., 1838. | [Getzville, NY] : William S. Hein & Co., [2014]","1 online resource (x, 336 pages)."
"New York (State), enacting jurisdiction.",The civil code of the State of New York / reported complete by the Commissioners of the Code.,,"Albany : Weed, Parsons & Co., printers, 1865. | [Getzville, NY] : William S. Hein & Co., [2014]","1 online resource (cxii, 776 pages) : forms."
"Oregon, enacting jurisdiction.","The code of civil procedure and other general statutes of Oregon : enacted by the Legislative Assembly at the session commencing September 8, A.D. 1862.",,"Oregon : Asahel Bush, state printer, 1863. | [Getzville, NY] : William S. Hein & Co., [2014]","1 online resource (286, 127, xx, iv pages)."
"District of Columbia, enacting jurisdiction.","The code of law for the District of Columbia : enacted March 3, 1901, amended by the acts approved January 31 and June 30, 1902, and amended by further acts of Congress to and including March 4, 1911  / compiled indexed and annotated to March 4, 1911 by William F. Meyers under supervision of Edward H. Thomas.",,"Washington : Government Printing Office, 1911. | [Getzville, NY] : William S. Hein & Co., [2013]","1 online resource (2, 394 pages)."
"New York (State), enacting jurisdiction.","General index to the laws of the state of New York : 1902-1907, both dates inclusive / prepared pursuant to resolution of the Assembly, June 26, 1907, under direction of Archie E. Baxter, clerk of the Assembly.",,"Albany : J.B. Lyon Company, state printers, 1908. | [Getzville, NY] : William S. Hein & Co., [2013]",1 online resource (1070 pages).
"Fay, Joseph D., compiler.","Guide to changes in the New York statute law, made since the year 1858 : adapted to the fifth edition of the revised statutes, with a reference to each page and section of said edition affected by subsequent legislation, and also the date and chapter of the amendatory acts / by Joseph D. Fay.",,"New York : Baker, Voorhis & Co., 1873. | N.Y. : Baker & Godwin, printers | [Getzville, NY] : William S. Hein & Co., [2013]",1 online resource (62 pages).
"Oregon Territory (Provisional government, 1843-1849), enacting jurisdiction.","Laws of a general and local nature passed by the Legislative Committee and Legislative Assembly : at their various successive sessions from the year 1843, down to and inclusive of the session of the Territorial Legislature, held in the year 1849, except such laws of said session as were published in the bound volume of Oregon statutes, dated Oregon City, 1851 : collected and published pursuant to an act of the Legislative Assembly, passed January 26, 1853.",,"Salem, Oregon : Asahel Bush, territorial printer, 1853. | [Getzville, NY] : William S. Hein & Co., [2014]","1 online resource (218, iii pages)."
"Colorado, enacting jurisdiction.","Mills' Colorado annotated code : adopting as text the Colorado Code of civil procedure of 1887 and exhibiting the evolution thereof through eighteen years of legislation and construction, made useful as a code work in all the states by a systematic collection of leading cases and references / by J. Warner Mills.",,"Denver, Colorado : Mills Publishing Company, 1896. | Denver, Colo. : Merchants Pub. Co., printers | [Getzville, NY] : William S. Hein & Co., [2013]","1 online resource (xxxi, 828 pages)."
"Colorado, enacting jurisdiction.","Mills' annotated Code of civil procedure : adopting as text the Colorado Code of civil procedure of 1887, and comparing same with the original Code of civil procedure of 1877 and exhibiting the evolution thereof through about twenty-eight years of legislation and judicial construction / by J. Warner Mills.",Revised edition.,"Denver, Colo. : Mills Publishing Company, 1905. | Denver : W.H. Kistler Stationery Co. | [Getzville, NY] : William S. Hein & Co., [2013]","1 online resource (xxi, 844 pages)."
"Colorado, enacting jurisdiction.","Mills' annotated statutes of the state of Colorado : embracing the general statutes of 1883, and all general laws enacted since that compilation (except the code of civil procedure), in force January 1, 1891, with digested notes of judicial decisions construing or illustrating the same / edited and annotated by J. Warner Mills.",,"Denver : Mills Publishing Company, 1891. | Denver, Colo. : Presswork and binding by the W.H. Kistler Stationery Co. | [Getzville, NY] : William S. Hein & Co., [2013]","1 online resource (2 volumes (xliii, 3000 pages))."
"Massachusetts, enacting jurisdiction.","Private and special statutes of the Commonwealth of Massachusetts. Vol. XX, For the years 1906, 1907 and 1908 / revised and published by authority of the Legislature, in conformity to a legislative resolve of 1909.",,"Boston : Wright & Potter Printing Co., state printers, 1909. | [Getzville, NY] : William S. Hein & Co., [2014]",1 online resource (1070 pages).
"New York (State), enacting jurisdiction.","The statute law of the state of New York : comprising the revised statutes and all other laws of general interest, in force January 1, 1881, arranged alphabetically according to subjects.",,"New York : George S. Diossy, 1881. | [Getzville, NY] : William S. Hein & Co., [2013]",1 online resource (3 volumes).
"Birdseye, Clarence F. (Clarence Frank), 1854-1927, compiler.","A supplement to a table chronologically arranged of the statutes of the State of New York : amended, repealed, continued, or otherwise modified or affected : covering the laws passed from the session of 1887 to the close of the session 1894 / by Clarence F. Birdseye.",,"New York : Baker, Voorhis and Company, 1894. | [Getzville, NY] : William S. Hein & Co., [2014]","1 online resource (viii, 371 pages)."
